 salary_year_avg,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,sql,python,r,excel,sas,tableau,power bi,swift,looker,databricks,spss,snowflake,t-sql,ssis,dax,sql server,aws,qlik,redshift,word,webex,powerpoint,cognos
Uber,"140,500","140,500","140,500","140,500",,"140,500",,"140,500","140,500",,,,,,,,,,,,,,
The Walt Disney Company,"125,000","125,000","125,000",,"250,000",,,,,"125,000","125,000","125,000",,,,,,,,,,,
Trinity Solar Careers,"110,000",,,"110,000",,,"110,000",,,,,,"110,000","110,000","110,000","110,000",,,,,,,
"Vista Global Solutions, LLC","105,000","105,000","105,000","105,000",,"105,000",,,,,,,,,,,"105,000","105,000","105,000",,,,
ZipRecruiter,"102,250","102,250",,,,,,,,,,,,,,,,,,,,,
"Visual Connections, LLC","78,000","78,000","78,000","78,000","156,000",,,,,,,,,,,,,,,"78,000","78,000","78,000","78,000"
Zelo Digital Recruitment,"70,000","70,000","70,000",,,"70,000","70,000",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,# skills,,,,,,,,,,,,,,,,,,,,,,
The Walt Disney Company,8,,,,,,,,,,,,,,,,,,,,,,
Trinity Solar Careers,7,,,,,,,,,,,,,,,,,,,,,,
Uber,7,,,,,,,,,,,,,,,,,,,,,,
"Vista Global Solutions, LLC",8,,,,,,,,,,,,,,,,,,,,,,
"Visual Connections, LLC",10,,,,,,,,,,,,,,,,,,,,,,
Zelo Digital Recruitment,5,,,,,,,,,,,,,,,,,,,,,,
ZipRecruiter,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
